,Animal,Order,Family,Forebrain m,Cerebellum m,Whole brain m,Forebrain n,Cerebellum n,Whole brain n,Body m,Forebrain m r %,Cerebellum m r %,Forebrain n r %,Cerebellum n r %,Forebrain n d,Cerebellum n d,Whole brain n d,Forebrain m per body m,Cerebellum m per body m,Whole brain m per body m,Forebrain n per body m,Cerebellum n per body m,Whole brain n per body m
64,Mandarin duck,Anseriformes,Anatidae,2.244,0.432,3.763,149709000.0,168231000.0,354952000.0,529.045,59.63327132606964,11.480201966516077,42.17725213550001,47.395422479659224,66715.24064171124,389423.6111111111,94326.86686154664,0.4241605156461171,0.08165656985700649,0.7112816490090635,282979.7087204302,317989.96304662176,670929.6940713929
65,Cape Barren goose,Anseriformes,Anatidae,4.866,1.073,7.909,160216000.0,276278000.0,462304000.0,5204.75,61.52484511316222,13.566822607156404,34.65598394130269,59.76110957292171,32925.606247431155,257481.82665424046,58452.90175749147,0.09349152216725107,0.020615783659157498,0.15195734665449828,30782.6504635189,53081.89634468514,88823.47855324463
66,Crested duck,Anseriformes,Anatidae,2.857,0.666,4.935,160907000.0,312544000.0,517733000.0,823.6,57.89260385005067,13.495440729483285,31.079146973439975,60.36779575572737,56320.266013300665,469285.28528528527,104910.43566362716,0.34689169499757166,0.08086449732880038,0.5991986401165614,195370.32540067993,379485.1869839728,628621.903836814
67,Laughing kookaburra,Coraciiformes,Alcedinidae,2.624,0.496,4.608,163203000.0,244330000.0,511800000.0,380.5,56.94444444444445,10.76388888888889,31.888042203985933,47.739351309105125,62196.26524390244,492600.8064516129,111067.70833333333,0.6896189224704337,0.13035479632063074,1.2110381077529566,428917.21419185284,642128.7779237845,1345072.273324573
68,Eurasian teal,Anseriformes,Anatidae,1.62,0.3163,2.768,167287000.0,163461000.0,373436000.0,284.85,58.52601156069365,11.427023121387284,44.79669876498249,43.7721590848231,103263.58024691358,516791.0211824217,134911.84971098267,0.5687203791469194,0.11104089871862384,0.971739512023872,587281.0251009302,573849.3944181148,1310991.7500438828
69,White-cheeked pintail,Anseriformes,Anatidae,2.246,0.465,3.761,168674000.0,213112000.0,420382000.0,458.4,59.71816006381281,12.36373304972082,40.123982473084006,50.69484421312045,75099.73285841497,458305.376344086,111773.99627758574,0.48996509598603843,0.10143979057591623,0.8204624781849914,367962.4781849913,464904.0139616056,917063.69982548
70,Northern shoveler,Anseriformes,Anatidae,2.017,0.453,3.427,181830000.0,246016000.0,479524000.0,621.15,58.85614239859935,13.218558505981909,37.9188528624219,51.30421000825819,90148.73574615766,543081.6777041942,139925.29909541874,0.32472027690573935,0.07292924414392658,0.5517185864927956,292731.2243419464,396065.36263382435,771993.8823150608
71,American kestrel,Falconiformes,Falconidae,1.315,0.308,2.376,182502000.0,214534000.0,469942000.0,108.02,55.34511784511784,12.962962962962962,38.83500517085087,45.651165462972024,138784.7908745247,696538.9610389611,197787.03703703705,1.2173671542306979,0.28513238289205706,2.1995926680244398,1689520.459174227,1986058.1373819665,4350509.16496945
72,Red-legged seriema,Cariamiformes,Cariamidae,4.546,1.109,8.514,219569000.0,529815000.0,855128000.0,1732.3,53.3944092083627,13.025604886070003,25.67674079202178,61.957391174186796,48299.38407391113,477741.20829576196,100437.8670425182,0.2624256768458119,0.06401893436471742,0.4914853085493274,126749.98556831958,305844.83057207183,493637.3607342839
73,Western marsh harrier,Accipitriformes,Accipitridae,2.824,0.661,5.234,224467000.0,352456000.0,687877000.0,478.5,53.954910202521965,12.628964463125717,32.63185133388672,51.238230090553984,79485.48158640227,533216.3388804841,131424.72296522735,0.5901776384535005,0.13814002089864158,1.0938349007314523,469105.5381400209,736585.1619644723,1437569.487983281
74,Common starling,Passeriformes,Sturnidae,1.144,0.193,1.855,226000000.0,193000000.0,482505000.0,74.0,61.671159029649594,10.404312668463612,46.83889286121387,39.99958549652335,197552.44755244756,1000000.0,260110.51212938005,1.545945945945946,0.2608108108108108,2.506756756756757,3054054.054054054,2608108.108108108,6520337.837837838
75,Northern goshawk,Accipitriformes,Accipitridae,3.931,1.186,7.568,228227000.0,472933000.0,813468000.0,800.6,51.942389006342495,15.671247357293868,28.05605137510019,58.13787389301116,58058.25489697278,398763.0691399663,107487.84355179704,0.49100674494129404,0.1481388958281289,0.9452910317262053,285069.9475393455,590723.2075943042,1016072.9452910317
76,Common kestrel,Falconiformes,Falconidae,1.88,0.5032,3.476,237903000.0,312406000.0,624582000.0,204.33,54.085155350978134,14.476409666283082,38.0899545616108,50.018412314155704,126544.14893617021,620838.6327503974,179684.11967779056,0.9200802623207556,0.24626829148925755,1.701169676503695,1164307.7374834826,1528928.69377967,3056731.7574511818
77,Muscovy duck,Anseriformes,Anatidae,4.235,0.768,7.076,248163000.0,211760000.0,520116000.0,2009.3,59.85019785189374,10.853589598643303,47.71301017465335,40.71399457044198,58598.11097992916,275729.1666666667,73504.23968343697,0.21076991987259247,0.038222266460956555,0.35216244463245905,123507.19155924949,105389.93679390833,258854.32737769373
78,Elliot's woodpecker,Piciformes,Picidae,1.116,0.179,1.763,251272000.0,153240000.0,448500000.0,37.5,63.30119115144641,10.153148043108338,56.02497212931996,34.16722408026756,225154.1218637993,856089.3854748603,254395.91605218378,2.976,0.47733333333333333,4.701333333333333,6700586.666666667,4086400.0,11960000.0
79,Cockatiel,Psittaciformes,Cacatuidae,1.368,0.196,2.205,258000000.0,129000000.0,452766000.0,90.0,62.04081632653061,8.88888888888889,56.98307735121454,28.49153867560727,188596.49122807017,658163.2653061225,205336.0544217687,1.5200000000000002,0.2177777777777778,2.45,2866666.6666666665,1433333.3333333333,5030733.333333333
80,Greylag goose,Anseriformes,Anatidae,6.71,1.226,10.829,258650000.0,420729000.0,735359000.0,2943.93,61.963246837196415,11.321451657586111,35.173296308333754,57.214095428219416,38546.94485842027,343172.1044045677,67906.45488964817,0.22792661510294063,0.04164501193982194,0.36784162666911246,87858.74664139433,142914.06385342043,249788.20827940883
81,Steppe eagle,Accipitriformes,Accipitridae,7.15,1.697,12.279,288470000.0,682506000.0,1106000000.0,3350.0,58.22949751608437,13.82034367619513,26.08227848101266,61.70940325497287,40345.454545454544,402183.85385975253,90072.48147243261,0.2134328358208955,0.050656716417910454,0.36653731343283585,86110.44776119402,203733.1343283582,330149.25373134325
82,Black kite,Accipitriformes,Accipitridae,3.715,0.876,6.622,301980000.0,426176000.0,825990000.0,835.7,56.10087586831772,13.228631833282996,36.55976464606109,51.59578203125946,81286.67563930014,486502.28310502286,124734.21926910299,0.44453751346176856,0.10482230465478043,0.7923896134976665,361349.766662678,509962.9053488094,988380.9979657772
83,Great spotted woodpecker,Piciformes,Picidae,1.709,0.317,2.801,311887000.0,241920000.0,637950000.0,77.9,61.01392359871475,11.317386647625847,48.88894113958774,37.92146719962379,182496.78174370978,763154.5741324921,227757.94359157444,2.1938382541720154,0.40693196405648263,3.5956354300385107,4003684.2105263155,3105519.897304236,8189345.314505776
84,Mute swan,Anseriformes,Anatidae,8.06,2.097,13.663,323661000.0,607105000.0,1001000000.0,9845.0,58.991436726926736,15.34802020054161,32.333766233766234,60.649850149850145,40156.45161290322,289511.2064854554,73263.55851569933,0.08186896901980702,0.021300152361604877,0.13878110716099543,32875.67293042153,61666.3280853225,101675.97765363129
85,Greater rhea,Struthioniformes,Rheidae,12.61,3.066,21.335,330342000.0,610090000.0,1030000000.0,31900.0,59.104757440824926,14.370752284977733,32.07203883495146,59.23203883495146,26196.82791435369,198985.6490541422,48277.47832200609,0.03952978056426332,0.00961128526645768,0.06688087774294671,10355.548589341694,19125.078369905958,32288.401253918495
86,Eastern rosella,Psittaciformes,Psittacidae,1.705,0.23,2.716,333000000.0,212000000.0,641879000.0,104.0,62.77614138438881,8.468335787923417,51.87893668432836,33.02803176299583,195307.91788856304,921739.1304347826,236332.47422680413,1.6394230769230769,0.22115384615384617,2.6115384615384616,3201923.076923077,2038461.5384615385,6171913.461538462
87,Von der Decken's hornbill,Bucerotiformes,Bucerotidae,2.559,0.488,4.463,347953000.0,336220000.0,783670000.0,222.0,57.33811337665248,10.93434909253865,44.40044916865518,42.90326285298659,135972.25478702618,688975.4098360656,175592.65068339682,1.1527027027027026,0.2198198198198198,2.01036036036036,1567355.8558558559,1514504.5045045046,3530045.045045045
88,Common buzzard,Accipitriformes,Accipitridae,4.22,1.052,7.795,351700000.0,510277000.0,1001000000.0,749.0,54.13726747915331,13.495830660679925,35.13486513486514,50.97672327672328,83341.23222748814,485054.1825095057,128415.65105837076,0.5634178905206942,0.1404539385847797,1.040720961281709,469559.4125500668,681277.7036048064,1336448.598130841
89,Northern red-billed hornbill,Bucerotiformes,Bucerotidae,2.58,0.412,4.153,354388000.0,318760000.0,757270000.0,190.0,62.12376595232363,9.920539369130749,46.798103714659234,42.093308859455675,137359.6899224806,773689.3203883495,182342.88466169033,1.3578947368421053,0.2168421052631579,2.1857894736842103,1865200.0,1677684.2105263157,3985631.5789473685
90,Eurasian pygmy owl,Strigiformes,Strigidae,2.21,0.228,3.02,364000000.0,127650000.0,533263000.0,67.2,73.17880794701986,7.549668874172186,68.25900165584336,23.937531762001115,164705.88235294117,559868.4210526316,176577.1523178808,3.2886904761904763,0.3392857142857143,4.494047619047619,5416666.666666666,1899553.5714285714,7935461.309523809
91,Canada goose,Anseriformes,Anatidae,6.315,1.181,9.832,379833000.0,440299000.0,913484000.0,4219.167,64.22904800650936,12.011798209926768,41.58069544732037,48.19996847235419,60147.74346793349,372818.79762912786,92909.2758340114,0.14967409443617663,0.02799130728885583,0.23303178091789206,90025.59035942402,104356.85527498674,216508.14011391345
92,Swan goose,Anseriformes,Anatidae,6.3,1.218,10.045,381096000.0,445189000.0,917876000.0,4002.9,62.7177700348432,12.125435540069686,41.51933376621679,48.50208524898788,60491.42857142857,365508.210180624,91376.40617222499,0.15738589522596116,0.03042793974368583,0.2509430662769492,95204.97639211571,111216.61795198481,229302.75550226084
93,Eurasian scops owl,Strigiformes,Strigidae,1.193,0.203,1.896,385088000.0,133901000.0,570997000.0,114.09,62.92194092827005,10.706751054852322,67.44133506831034,23.45038590395396,322789.60603520536,659610.8374384237,301158.7552742616,1.0456657025155578,0.17792970461916033,1.6618459111227977,3375300.201595232,1173643.614690157,5004794.460513629
94,Monk parakeet,Psittaciformes,Psittacidae,2.24,0.281,3.42,396000000.0,195000000.0,696765000.0,81.7,65.49707602339183,8.216374269005849,56.83408322748703,27.98648037717164,176785.7142857143,693950.177935943,203732.45614035087,2.741738066095471,0.3439412484700123,4.186046511627907,4847001.223990208,2386780.905752754,8528335.373317013
95,Peregrine falcon,Falconiformes,Falconidae,3.787,1.062,6.776,396060000.0,548548000.0,1060000000.0,672.8,55.888429752066116,15.672963400236128,37.364150943396226,51.749811320754716,104584.10351201479,516523.5404896422,156434.4746162928,0.562871581450654,0.15784780023781214,1.0071343638525565,588674.1973840666,815321.0463733651,1575505.3507728896
96,Black vulture,Accipitriformes,Cathartidae,5.93,1.3985,9.967,398899000.0,512097000.0,1009000000.0,1747.0,59.49633791511989,14.031303300892947,39.53409316154609,50.75292368681863,67267.95952782463,366175.90275294957,101234.07243904886,0.3394390383514596,0.08005151688609044,0.5705208929593589,228333.71493989698,293129.3646250715,577561.5340583858
97,Azure-winged magpie,Passeriformes,Corvidae,2.218,0.271,3.393,399695000.0,243490000.0,740589000.0,84.11,65.36987916298261,7.98703212496316,53.96988073006755,32.87788503474937,180205.13976555454,898487.0848708487,218269.67285587976,2.6370229461419568,0.32219712281536084,4.034003091190108,4752050.885744858,2894899.536321484,8805005.350136725
98,Little owl,Strigiformes,Strigidae,2.99,0.3585,4.259,400822000.0,134013000.0,585923000.0,169.56,70.20427330359239,8.417468889410658,68.40864755266477,22.872118008680324,134054.1806020067,373815.89958158997,137572.90443766143,1.7633875914130692,0.2114295824486907,2.511795234725171,2363894.7865062514,790357.3956121727,3455549.657938193
99,Common hill myna,Passeriformes,Sturnidae,2.161,0.367,3.67,410330000.0,365738000.0,906127000.0,262.075,58.88283378746594,10.0,45.28393922706199,40.3627747545322,189879.68533086535,996561.3079019074,246901.08991825613,0.8245731183821426,0.14003624916531526,1.4003624916531527,1565696.842506916,1395547.0762186397,3457510.254698083
100,European green woodpecker,Piciformes,Picidae,2.73,0.42,4.162,424365000.0,241000000.0,736450000.0,184.3,65.5934646804421,10.091302258529552,57.62305655509539,32.72455699640165,155445.05494505496,573809.5238095238,176946.17972128783,1.4812805208898534,0.22788931090613126,2.258274552360282,2302577.319587629,1307650.5697232771,3995930.548019533
101,Barn owl,Strigiformes,Tytonidae,3.852,0.51,5.209,437000000.0,214000000.0,739740000.0,580.0,73.94893453637935,9.790746784411596,59.074810068402414,28.92908319139157,113447.55970924195,419607.8431372549,142011.90247648302,0.6641379310344827,0.08793103448275862,0.898103448275862,753448.275862069,368965.5172413793,1275413.7931034483
102,Emu,Casuariiformes,Casuariidae,12.979,3.399,21.811,439000000.0,814000000.0,1335000000.0,38925.0,59.506670945853,15.58387969373252,32.88389513108614,60.97378277153558,33823.86932737499,239482.20064724918,61207.64751730778,0.03334360950545921,0.008732177263969172,0.056033397559409115,11278.098908156711,20912.010276172125,34296.724470134875
103,Saker falcon,Falconiformes,Falconidae,4.12,1.1971,7.315,442946000.0,645740000.0,1204000000.0,1006.0,56.32262474367737,16.365003417634995,36.78953488372093,53.6328903654485,107511.16504854368,539420.265641968,164593.3014354067,0.4095427435387674,0.11899602385685885,0.7271371769383698,440304.1749502982,641888.6679920477,1196819.0854870775
104,Eurasian magpie,Passeriformes,Corvidae,3.714,0.453,5.425,443000000.0,349000000.0,897274000.0,178.0,68.46082949308756,8.350230414746544,49.371763809048296,38.89558819268139,119278.40603123317,770419.4260485651,165396.12903225806,2.0865168539325842,0.25449438202247193,3.047752808988764,2488764.04494382,1960674.1573033708,5040865.168539326
105,Black woodpecker,Piciformes,Picidae,6.016,0.73,8.491,457384000.0,529120000.0,1080000000.0,291.0,70.85148981274291,8.59733835826169,42.35037037037037,48.992592592592594,76027.9255319149,724821.9178082192,127193.49899894005,2.0673539518900346,0.2508591065292096,2.91786941580756,1571766.323024055,1818281.7869415807,3711340.206185567
106,Common ostrich,Struthioniformes,Struthionidae,25.58,5.8009,40.249,479410000.0,1059572000.0,1629000000.0,120050.0,63.55437402171482,14.412531988372383,29.429711479435237,65.04432166973604,18741.594996090695,182656.4843386371,40473.05523118587,0.021307788421491045,0.004832069970845482,0.033526863806747194,3993.4194085797585,8826.089129529362,13569.346105789255
107,Western jackdaw,Passeriformes,Corvidae,4.165,0.483,6.023,492000000.0,375000000.0,967985000.0,246.0,69.15158558857712,8.019259505229952,50.82723389308719,38.74026973558475,118127.25090036014,776397.5155279504,160714.7600863357,1.6930894308943087,0.19634146341463415,2.4483739837398373,2000000.0,1524390.243902439,3934898.37398374
108,Eurasian jay,Passeriformes,Corvidae,2.854,0.411,4.597,529000000.0,429000000.0,1085000000.0,159.7,62.08396780509027,8.94061344355014,48.755760368663594,39.53917050691244,185353.889278206,1043795.6204379562,236023.49358277136,1.7871008140262996,0.25735754539762057,2.8785222291797123,3312460.864120226,2686286.787726988,6793988.728866626
109,White-tailed eagle,Accipitriformes,Accipitridae,12.54,2.3578,19.515,542926000.0,983667000.0,1654000000.0,5228.2,64.25826287471176,12.08198821419421,32.82503022974607,59.47200725513906,43295.534290271135,417196.96327084565,84755.31642326416,0.239853104318886,0.04509773918365786,0.37326422095558703,103845.6830266631,188146.39837802688,316361.27156573965
110,Alexandrine parakeet,Psittaciformes,Psittaculidae,3.657,0.506,5.699,575000000.0,361000000.0,1096000000.0,255.0,64.16915248289173,8.878750658010178,52.46350364963504,32.93795620437956,157232.70440251572,713438.7351778656,192314.4411300228,1.4341176470588235,0.19843137254901963,2.2349019607843137,2254901.9607843137,1415686.2745098039,4298039.215686275
111,Tanimbar corella,Psittaciformes,Cacatuidae,5.502,0.571,8.275,599000000.0,413000000.0,1161000000.0,275.0,66.48942598187311,6.900302114803624,51.59345391903531,35.572782084409994,108869.501999273,723292.469352014,140302.1148036254,2.0007272727272727,0.20763636363636362,3.0090909090909093,2178181.8181818184,1501818.1818181819,4221818.181818182
112,Striated caracara,Falconiformes,Falconidae,6.847,1.136,10.609,663372000.0,592281000.0,1411000000.0,1426.6,64.53954189838817,10.707889527759448,47.014316087880935,41.975974486180014,96885.0591499927,521374.11971830984,133000.28277877273,0.47995233422122535,0.07962988924716108,0.7436562456189542,465002.1029020048,415169.6340950512,989064.9095752139
113,Boreal owl,Strigiformes,Strigidae,2.902,0.349,4.084,663908000.0,206170000.0,925101000.0,113.12,71.05778648383938,8.545543584720862,71.76600176629363,22.28621523487706,228776.016540317,590744.9856733524,226518.3643486778,2.5654172560113153,0.3085219236209335,3.6103253182461095,5869059.405940594,1822577.793493635,8178049.858557284
114,Long-eared owl,Strigiformes,Strigidae,3.84,0.4746,5.445,673000000.0,261386000.0,991310000.0,248.06,70.52341597796142,8.71625344352617,67.8899637852942,26.367735622560044,175260.41666666666,550750.1053518752,182058.76951331497,1.548012577602193,0.19132467951302107,2.1950334596468597,2713053.2935580104,1053720.873982101,3996250.9070386197
115,Trumpeter hornbill,Bucerotiformes,Bucerotidae,6.243,0.863,9.328,799933000.0,434140000.0,1355000000.0,598.8,66.92753001715268,9.25171526586621,59.03564575645757,32.03985239852398,128132.78872337018,503059.09617612977,145261.5780445969,1.0425851703406814,0.14412157648630597,1.5577822311289247,1335893.4535738144,725016.7000668003,2262859.051436206
116,Rook,Passeriformes,Corvidae,5.769,0.657,8.357,820000000.0,536000000.0,1509000000.0,453.5,69.03194926408999,7.861672849108532,54.34062292909212,35.52021206096752,142139.0188940891,815829.5281582953,180567.18918272108,1.2721058434399117,0.14487320837927234,1.8427783902976846,1808158.7651598677,1181918.4123484013,3327453.1422271226
117,Morepork,Strigiformes,Strigidae,3.846,0.515,5.535,823855000.0,280175000.0,1171000000.0,274.9,69.48509485094851,9.30442637759711,70.35482493595218,23.92613151152861,214210.86843473738,544029.1262135922,211562.78229448962,1.3990542015278284,0.18734085121862498,2.0134594397962897,2996926.154965442,1019188.7959257913,4259730.811204075
118,Grey parrot,Psittaciformes,Psittacidae,5.941,0.638,8.827,850000000.0,387000000.0,1566000000.0,333.0,67.30486008836523,7.2278237226690845,54.278416347381864,24.71264367816092,143073.55664029624,606583.0721003135,177410.21864733205,1.7840840840840841,0.19159159159159161,2.650750750750751,2552552.5525525524,1162162.1621621621,4702702.702702703
119,Sulphur-crested cockatoo,Psittaciformes,Cacatuidae,6.767,0.836,10.131,1135000000.0,588000000.0,2122000000.0,800.0,66.79498568749383,8.251900108577633,53.48727615457116,27.70970782280867,167725.72779666027,703349.2822966507,209456.12476557103,0.8458750000000002,0.1045,1.266375,1418750.0,735000.0,2652500.0
120,Tawny owl,Strigiformes,Strigidae,6.49,0.6228,8.853,1153000000.0,334017000.0,1581000000.0,549.67,73.30848300011296,7.034903422568621,72.92852624920936,21.126944971537,177657.93528505394,536315.028901734,178583.53100643848,1.180708425055033,0.11330434624411011,1.6106027252715267,2097622.20968945,607668.23730602,2876271.21727582
121,Silvery-cheeked hornbill,Bucerotiformes,Bucerotidae,8.75,1.333,13.613,1177000000.0,764520000.0,2117000000.0,1037.0,64.27679424079923,9.792110482626901,55.59754369390647,36.11336797354747,134514.2857142857,573533.3833458364,155513.11246602514,0.8437801350048216,0.12854387656702024,1.3127290260366442,1135004.8216007715,737242.044358727,2041465.7666345227
122,Raven,Passeriformes,Corvidae,10.195,1.145,14.135,1204000000.0,753000000.0,2171000000.0,1041.0,72.12592854616202,8.100459851432614,55.45831414094887,34.68447719944726,118097.106424718,657641.92139738,153590.37849310224,0.979346781940442,0.10999039385206533,1.3578290105667628,1156580.2113352546,723342.939481268,2085494.716618636
123,Snowy owl,Strigiformes,Strigidae,13.48,1.2854,17.752,1270000000.0,452880000.0,1808000000.0,1770.0,75.93510590356017,7.24087426768815,70.2433628318584,25.048672566371682,94213.64985163204,352326.12416368444,101847.67913474538,0.7615819209039548,0.07262146892655368,1.0029378531073445,717514.1242937853,255864.40677966102,1021468.9265536723
124,Kea,Psittaciformes,Nestoridae,9.483,0.825,13.592,1281000000.0,481000000.0,2149000000.0,867.5,69.76898175397292,6.0697469099470265,59.60912052117264,22.382503489995347,135083.83422967416,583030.303030303,158107.71041789287,1.0931412103746398,0.09510086455331412,1.5668011527377523,1476657.060518732,554466.8587896253,2477233.429394813
125,Northern hawk-owl,Strigiformes,Strigidae,5.311,0.554,7.353,1308000000.0,299621000.0,1710000000.0,300.4,72.22902216782265,7.534339725282199,76.49122807017544,17.52169590643275,246281.30295612878,540832.1299638989,232558.13953488372,1.76797603195739,0.18442077230359524,2.4477363515312915,4354194.407456725,997406.7909454062,5692410.119840213
126,Eurasian eagle-owl,Strigiformes,Strigidae,11.72,1.2078,15.766,1328000000.0,471871000.0,1898000000.0,2342.33,74.3371812761639,7.660789039705696,69.96838777660696,24.861485774499474,113310.58020477816,390686.3719158801,120385.63998477737,0.5003564826476201,0.05156404093360031,0.6730904697459368,566956.8335802385,201453.68073670234,810304.2696801902
127,Great grey owl,Strigiformes,Strigidae,10.969,1.025,14.37,1700000000.0,495827000.0,2299000000.0,1013.3,76.33263743910925,7.132915796798886,73.94519356241844,21.567072640278383,154982.2226274045,483733.65853658534,159986.08211551845,1.0825027139050627,0.10115464324484356,1.418138754564295,1677686.76601204,489319.05654791277,2268824.632389223
128,Blue and yellow macaw,Psittaciformes,Psittacidae,14.377,1.245,20.73,1916000000.0,633000000.0,3136000000.0,1030.0,69.35359382537386,6.005788712011578,61.0969387755102,20.184948979591837,133268.41482924114,508433.734939759,151278.34056922334,1.3958252427184468,0.120873786407767,2.012621359223301,1860194.1747572816,614563.1067961165,3044660.194174757
