,Animal,Forebr m,Cer m,rest m,Forebr n,Cer n,Rest n,Body m,Fmr %,Cmr %,rmr %
1,African sheath-tailed bat,0.0899,0.054,0.098,5080000.0,47984000.0,5514000.0,11.5,0.371641174038859,0.2232327408019843,0.4051260851591567
2,Little free-tailed bat,0.084,0.036,0.084,5632000.0,25324000.0,4001000.0,5.4,0.4117647058823529,0.1764705882352941,0.4117647058823529
3,Rufous trident bat,0.093,0.072,0.084,6039000.0,59651000.0,4072000.0,13.7,0.37349397590361444,0.2891566265060241,0.3373493975903615
4,Common bent-wing bat,0.0858,0.0485,0.086,6116000.0,44447000.0,5094000.0,11.6,0.389468906037222,0.22015433499773038,0.39037675896504764
5,Naked mole-rat,0.184,0.048,0.16,6150000.0,15740000.0,4980000.0,35.3,0.4693877551020408,0.12244897959183673,0.40816326530612246
6,Commerson's roundleaf bat,0.243,0.107,0.237,7877000.0,51875000.0,6965000.0,101.9,0.41396933560477,0.18228279386712096,0.403747870528109
7,Smoky shrew,0.084,0.02,0.072,9730000.0,20870000.0,5560000.0,7.5,0.47727272727272735,0.11363636363636365,0.40909090909090906
8,Heart-nosed bat,0.257,0.103,0.201,10221000.0,63792000.0,7317000.0,26.0,0.4581105169340464,0.18360071301247774,0.358288770053476
9,Short-palated fruit bat,0.461,0.127,0.301,10471000.0,77445000.0,11098000.0,27.0,0.5185601799775028,0.14285714285714285,0.33858267716535434
10,Northern short-tailed shrew,0.197,0.037,0.113,11876000.0,33430000.0,6340000.0,21.6,0.5677233429394812,0.10662824207492794,0.3256484149855908
11,Woermann's bat,0.309,0.079,0.159,11897000.0,49734000.0,4097000.0,17.9,0.5648994515539305,0.14442413162705667,0.2906764168190128
12,Zenker's fruit bat,0.323,0.085,0.177,12847000.0,47217000.0,5529000.0,16.1,0.5521367521367522,0.1452991452991453,0.30256410256410254
13,House mouse,0.173,0.056,0.172,13690000.0,42220000.0,11960000.0,20.5,0.4314214463840399,0.13965087281795513,0.428927680798005
14,Namaqua dove,0.24,0.087,0.185,14167000.0,59533000.0,16520000.0,31.85,0.46875,0.16992187499999997,0.361328125
15,Hairy-tailed mole,0.429,0.102,0.228,15690000.0,100780000.0,7130000.0,62.5,0.5652173913043478,0.13438735177865613,0.30039525691699603
16,Golden hamster,0.446,0.145,0.375,17140000.0,61210000.0,5870000.0,105.0,0.4616977225672878,0.15010351966873706,0.38819875776397517
17,Star-nosed mole,0.42,0.138,0.244,17250000.0,105920000.0,8160000.0,55.3,0.5236907730673316,0.17206982543640897,0.30423940149625933
18,Common ground dove,0.246,0.075,0.197,17602000.0,51380000.0,15546000.0,35.277,0.4749034749034749,0.14478764478764478,0.3803088803088803
19,Diamond dove,0.24,0.0776,0.18,18209000.0,54101000.0,11617000.0,39.93,0.48231511254019294,0.15594855305466238,0.3617363344051447
20,King quail,0.22,0.0717,0.178,20523000.0,42945000.0,12259000.0,43.81,0.468384074941452,0.15265062806046412,0.37896529699808384
21,Grey mouse lemur,0.908,0.391,0.5,22310000.0,221380000.0,11010000.0,64.8,0.5047248471372985,0.21734296831573097,0.27793218454697055
22,Franquet's epauletted fruit bat,1.04,0.286,0.712,22533000.0,150660000.0,12808000.0,120.0,0.5103042198233562,0.14033366045142293,0.34936211972522074
23,Common quail,0.36,0.109,0.26,22568000.0,75198000.0,15811000.0,94.86,0.49382716049382713,0.149519890260631,0.35665294924554186
24,Hammer-headed bat,1.805,0.456,1.169,24343000.0,221298000.0,28877000.0,310.0,0.5262390670553936,0.13294460641399417,0.3408163265306122
25,Cayenne spiny rat,0.924,0.33,0.824,26090000.0,162510000.0,13490000.0,356.5,0.4446583253128008,0.15880654475457173,0.3965351299326275
26,Wahlberg's epauletted fruit bat,0.634,0.193,0.386,26201000.0,121136000.0,14416000.0,74.0,0.5226710634789777,0.1591096455070074,0.3182192910140148
27,Eastern mole,0.476,0.153,0.37,26680000.0,158550000.0,16560000.0,90.0,0.47647647647647645,0.15315315315315314,0.37037037037037035
28,Common emerald dove,0.494,0.176,0.351,27148000.0,109818000.0,23186000.0,119.64,0.4838393731635652,0.1723800195886386,0.3437806072477963
29,Egyptian fruit bat,0.985,0.219,0.547,28859000.0,132436000.0,10936000.0,120.0,0.5625356938892062,0.12507138777841234,0.31239291833238153
30,Brown rat,0.769,0.272,0.683,31020000.0,139170000.0,18680000.0,300.0,0.4460556844547564,0.1577726218097448,0.3961716937354989
31,Four-toed elephant shrew,1.239,0.304,0.894,33947000.0,110650000.0,12230000.0,210.0,0.5084119819450144,0.12474353713582272,0.3668444809191629
32,Common bronzewing,0.869,0.257,0.573,34077000.0,145208000.0,25681000.0,306.025,0.5114773396115363,0.1512654502648617,0.3372572101236021
33,Pink-necked green pigeon,0.645,0.2,0.386,34357000.0,114792000.0,16654000.0,128.85,0.5239642567018684,0.16246953696181968,0.313566206336312
34,Grey partridge,0.74,0.2071,0.506,36882000.0,107546000.0,19105000.0,337.33,0.5092560732227651,0.14252288211410089,0.34822104466313397
35,Ferret,3.123,0.92,1.386,38950000.0,351260000.0,14210000.0,809.0,0.575244059679499,0.1694603057653343,0.2552956345551667
36,Northern bobwhite,0.51,0.1471,0.371,39112000.0,80021000.0,21009000.0,181.08,0.49606069448497225,0.14307946697792046,0.3608598385371073
37,African collared dove,0.51,0.1404,0.324,39997000.0,72381000.0,19337000.0,137.25,0.5233990147783252,0.14408866995073893,0.332512315270936
38,Guinea pig,1.938,0.5,1.218,43510000.0,167850000.0,22190000.0,728.0,0.5300875273522976,0.13676148796498908,0.33315098468271337
39,Silver-tipped imperial pigeon,1.449,0.434,0.745,47331000.0,210346000.0,24090000.0,456.4,0.5513698630136986,0.16514459665144596,0.2834855403348554
40,Quebrach crested tinamou,0.88,0.2526,0.542,48292000.0,146230000.0,33195000.0,475.75,0.5254986265376806,0.15084199211752058,0.32365938134479877
41,Red-legged partridge,1.055,0.243,0.64,50185000.0,108889000.0,29638000.0,459.667,0.5443756449948399,0.12538699690402474,0.3302373581011352
42,Common wood pigeon,1.28,0.4016,0.781,51325000.0,164834000.0,28674000.0,468.33,0.5197758466661252,0.1630796718914968,0.31714448144237795
43,Elegant crested tinamou,1.0,0.2734,0.575,51384000.0,129548000.0,27970000.0,502.95,0.5410084397316598,0.14791170742263576,0.3110798528457044
44,Eurasian blackcap,0.454,0.084,0.236,52000000.0,76000000.0,27000000.0,16.7,0.58656330749354,0.10852713178294573,0.30490956072351416
45,California quail,0.607,0.194,0.363,52490000.0,92319000.0,18066000.0,199.6,0.5214776632302406,0.16666666666666669,0.3118556701030928
46,Speckled pigeon,0.897,0.316,0.549,53884000.0,161142000.0,31145000.0,262.94,0.5090805902383655,0.1793416572077185,0.311577752553916
47,Tetrao tetrix,1.562,0.48,1.054,54079000.0,176651000.0,39917000.0,897.8,0.5045219638242894,0.15503875968992248,0.34043927648578814
48,Black francolin,0.825,0.224,0.548,54209000.0,139932000.0,28805000.0,368.6,0.5165936130244208,0.14026299311208518,0.3431433938634941
49,Zebra finch,0.277,0.056,0.161,55000000.0,56000000.0,24000000.0,12.0,0.5607287449392713,0.11336032388663968,0.3259109311740891
50,Black-naped fruit dove,0.692,0.203,0.41,55673000.0,115880000.0,21335000.0,99.55,0.5302681992337165,0.15555555555555559,0.31417624521072796
51,Chilean tinamou,0.82,0.2376,0.543,59130000.0,136461000.0,33825000.0,388.7,0.5123078845432962,0.1484443333749844,0.33924778208171935
52,Luzon bleeding-heart,0.688,0.221,0.481,59161000.0,134425000.0,26310000.0,199.2,0.4949640287769784,0.1589928057553957,0.3460431654676259
53,Red junglefowl,1.335,0.369,1.115,60000000.0,114000000.0,45000000.0,779.8,0.47357218871940404,0.1308974813763746,0.3955303299042214
54,Common tree shrew,1.455,0.326,0.919,60390000.0,185280000.0,22480000.0,200.0,0.5388888888888889,0.12074074074074073,0.3403703703703704
55,Goldcrest,0.176,0.04,0.141,64000000.0,66000000.0,32000000.0,5.6,0.4929971988795518,0.11204481792717087,0.3949579831932773
56,European rabbit,4.448,1.412,3.272,71450000.0,396670000.0,26080000.0,1800.0,0.487078405606658,0.15462111257117828,0.3583004818221638
57,Rock dove,0.915,0.332,0.848,72000000.0,197000000.0,40000000.0,358.7,0.4367541766109785,0.158472553699284,0.4047732696897374
58,Common pheasant,1.898,0.451,1.146,76278000.0,194341000.0,33915000.0,1221.667,0.5430615164520745,0.12904148783977112,0.3278969957081545
59,Eastern grey squirrel,2.73,0.874,1.943,77330000.0,342830000.0,33490000.0,533.0,0.49215792320173063,0.15756264647557236,0.3502794303226969
60,Reeves's pheasant,1.7,0.5158,1.136,80688000.0,245720000.0,42983000.0,1119.0,0.5071901664777134,0.1538874634524733,0.33892237006981324
61,Great tit,0.58,0.09,0.27,83000000.0,108000000.0,34000000.0,17.9,0.6170212765957447,0.09574468085106383,0.2872340425531915
62,Eurasian sparrowhawk,1.28,0.4795,0.789,87832000.0,253630000.0,47222000.0,162.4,0.5022562291544045,0.18814989209338825,0.3095938787522072
63,Green-rumped parrotled,0.715,0.098,0.333,103000000.0,89600000.0,34000000.0,24.0,0.6239092495636999,0.0855148342059337,0.29057591623036655
64,Wild turkey,2.89,0.8564,1.802,105654000.0,315741000.0,48799000.0,3453.33,0.5208708816956239,0.1543508038353399,0.3247783144690361
65,Mallard,3.6,0.6496,1.105,112255000.0,220314000.0,19347000.0,1361.67,0.6723191274791769,0.12131625144735368,0.20636462107346956
66,Australian wood duck,2.282,0.597,0.861,112604000.0,245364000.0,20014000.0,613.8,0.6101604278074866,0.15962566844919784,0.2302139037433155
67,Eurasian wigeon,2.462,0.45,0.77,113159000.0,151783000.0,11480000.0,636.8,0.6686583378598587,0.12221618685497011,0.2091254752851711
68,Banded mongoose,9.29,1.548,3.454,115770000.0,315740000.0,22510000.0,1332.0,0.6500139938427092,0.10831234256926953,0.24167366358802128
69,Victoria crowned pigeon,2.94,0.8918,1.555,118445000.0,405518000.0,44905000.0,1375.4,0.5457785698373803,0.16555283285067202,0.2886685973119477
70,Ruddy shelduck,2.805,0.829,1.143,119202000.0,264298000.0,20527000.0,1257.967,0.5871886120996441,0.1735398785848859,0.23927150931546995
71,Yellow-Knobbed Curassow,4.92,1.184,2.075,124624000.0,472677000.0,33086000.0,2448.6,0.601540530627216,0.14476097322411052,0.25369849614867346
72,Baikal teal,1.891,0.413,0.662,129036000.0,151217000.0,8979000.0,449.05,0.6375590020229266,0.1392447741065408,0.22319622387053273
73,Indian peafowl,3.15,0.8543,1.597,129621000.0,374518000.0,40825000.0,3599.2,0.562369449949119,0.15251816542588326,0.28511238462499777
74,Lake duck,2.304,0.445,0.738,129874000.0,112566000.0,35197000.0,551.15,0.6607398910238027,0.12761686263263552,0.21164324634356182
75,Marbled duck,2.04,0.433,0.73,130142000.0,213841000.0,25548000.0,452.2,0.6369029035279425,0.13518576334686233,0.22791133312519513
76,Pygmy falcon,0.86,0.2106,0.431,131898000.0,155402000.0,50673000.0,63.91,0.5727224294086307,0.14025039957378796,0.28702717101758124
77,Helmeted guineafowl,1.852,0.494,1.077,132459000.0,253934000.0,36564000.0,1703.9,0.5410458661992404,0.14431784983932222,0.31463628396143734
78,Wandering whistling duck,2.701,0.616,0.84,134286000.0,220818000.0,20762000.0,806.95,0.6497474140004811,0.14818378638441182,0.20206879961510704
79,Common blackbird,1.091,0.213,0.584,136000000.0,186000000.0,56000000.0,103.2,0.5778601694915254,0.1128177966101695,0.3093220338983051
80,Wood duck,2.26,0.4028,0.8545,138206000.0,133108000.0,23146000.0,649.3,0.6425383106359992,0.11451965996645155,0.2429420293975493
81,Smew,2.108,0.542,0.809,140265000.0,256227000.0,21490000.0,513.55,0.6094246892165365,0.1566926857473258,0.2338826250361376
82,Red kite,3.831,0.863,1.293,145561000.0,403410000.0,63978000.0,843.4,0.6398864205779188,0.1441456489059629,0.21596793051611823
83,Montagu's harrier,2.218,0.644,1.12,148326000.0,348250000.0,57645000.0,243.0,0.55700652938222,0.16172777498744348,0.28126569563033654
84,Red-breasted goose,2.7,0.7371,0.999,148617000.0,285407000.0,28265000.0,1042.3,0.6086427267194158,0.1661594643944005,0.22519780888618382
85,Budgerigar,0.775,0.144,0.397,149000000.0,119000000.0,54000000.0,30.0,0.5889057750759878,0.10942249240121579,0.30167173252279633
86,Mandarin duck,2.244,0.432,0.878,149709000.0,168231000.0,19347000.0,529.045,0.6314012380416433,0.12155317951603825,0.2470455824423185
87,Cape Barren goose,4.866,1.073,1.406,160216000.0,276278000.0,7666000.0,5204.75,0.6624914908100749,0.1460857726344452,0.19142273655547992
88,Crested duck,2.857,0.666,0.972,160907000.0,312544000.0,24271000.0,823.6,0.63559510567297,0.14816462736373748,0.21624026696329254
89,Eurasian teal,1.62,0.3163,0.584,167287000.0,163461000.0,22915000.0,284.85,0.6427806213546007,0.12550093242867913,0.2317184462167202
90,White-cheeked pintail,2.246,0.465,0.741,168674000.0,213112000.0,22184000.0,458.4,0.6506373117033604,0.1347045191193511,0.21465816917728853
91,Northern shoveler,2.017,0.453,0.683,181830000.0,246016000.0,28106000.0,621.15,0.6397082143989852,0.14367269267364416,0.2166190929273708
92,American kestrel,1.315,0.308,0.584,182502000.0,214534000.0,54330000.0,108.02,0.5958314454009969,0.13955595831445403,0.26461259628454914
93,Rock hyrax,10.478,2.058,4.317,197930000.0,488370000.0,69350000.0,3600.0,0.621729069008485,0.1221147570165549,0.25615617397495993
94,Red-legged seriema,4.546,1.109,2.114,219569000.0,529815000.0,72303000.0,1732.3,0.5851460934483202,0.14274681426180974,0.27210709228986996
95,Western marsh harrier,2.824,0.661,1.302,224467000.0,352456000.0,66301000.0,478.5,0.5899310632964277,0.13808230624608314,0.27198663045748905
96,Common starling,1.144,0.193,0.519,226000000.0,193000000.0,62000000.0,74.0,0.6163793103448276,0.10398706896551725,0.2796336206896552
97,Northern greater galago,6.29,1.196,2.131,226090000.0,743500000.0,20800000.0,1300.0,0.6540501195799107,0.12436310699802434,0.2215867734220651
98,Northern goshawk,3.931,1.186,1.874,228227000.0,472933000.0,82609000.0,800.6,0.5622943784866257,0.1696466885996281,0.2680589329137463
99,Common kestrel,1.88,0.5032,0.835,237903000.0,312406000.0,51400000.0,204.33,0.5841774905226524,0.15636069852712697,0.25946181095022064
100,Common marmoset,5.561,0.73,1.489,244720000.0,361370000.0,29720000.0,255.2,0.7147814910025707,0.09383033419023136,0.19138817480719794
101,Muscovy duck,4.235,0.768,1.455,248163000.0,211760000.0,21573000.0,2009.3,0.655775781975844,0.11892226695571384,0.22530195106844225
102,House cat,24.176,5.11,5.572,249830000.0,942900000.0,22470000.0,3900.0,0.6935567158184635,0.14659475586665904,0.15984852831487753
103,Brown bear,222.0,45.106,47.898,250970000.0,9253000000.0,81380000.0,277500.0,0.7047529555180251,0.14319183248466685,0.15205521199730798
104,Cockatiel,1.368,0.196,0.642,258000000.0,129000000.0,65000000.0,90.0,0.6201269265639167,0.08884859474161379,0.2910244786944696
105,Greylag goose,6.71,1.226,1.647,258650000.0,420729000.0,25145000.0,2943.93,0.7001982677658353,0.12793488469164144,0.1718668475425232
106,Steppe eagle,7.15,1.697,2.482,288470000.0,682506000.0,94700000.0,3350.0,0.6311236649307088,0.1497925677464913,0.2190837673227999
107,Black kite,3.715,0.876,1.445,301980000.0,426176000.0,60945000.0,835.7,0.6154738237243207,0.14512922465208747,0.23939695162359179
108,Capybara,48.175,6.632,19.927,306500000.0,1157000000.0,108000000.0,55000.0,0.6446195841250301,0.08874140284207992,0.26663901303289
109,Domestic pig,42.404,8.128,13.85,307082000.0,1858000000.0,58710000.0,130000.0,0.6586312944611848,0.1262464664036532,0.21512223913516199
110,Mute swan,8.06,2.097,2.455,323661000.0,607105000.0,24867000.0,9845.0,0.6390738978750397,0.16627021883920076,0.19465588328575958
111,Greater rhea,12.61,3.066,4.461,330342000.0,610090000.0,52994000.0,31900.0,0.6262104583602324,0.15225703928092565,0.22153250235884195
112,Eastern rosella,1.705,0.23,0.781,333000000.0,212000000.0,97000000.0,104.0,0.6277614138438881,0.08468335787923417,0.28755522827687774
113,Common buzzard,4.22,1.052,1.826,351700000.0,510277000.0,88187000.0,749.0,0.5945336714567483,0.14821076359537896,0.2572555649478726
114,Eurasian pygmy owl,2.21,0.228,0.435,364000000.0,127650000.0,27538000.0,67.2,0.7692307692307692,0.07935955447267665,0.1514096762965541
115,Canada goose,6.315,1.181,1.684,379833000.0,440299000.0,29761000.0,4219.167,0.6879084967320263,0.12864923747276688,0.18344226579520698
116,Swan goose,6.3,1.218,1.663,381096000.0,445189000.0,33525000.0,4002.9,0.6861997603746869,0.1326652870057728,0.18113495261954038
117,Eurasian scops owl,1.193,0.203,0.386,385088000.0,133901000.0,37200000.0,114.09,0.6694725028058361,0.11391694725028059,0.2166105499438833
118,Monk parakeet,2.24,0.281,0.9,396000000.0,195000000.0,105000000.0,81.7,0.6547793042969892,0.08213972522654195,0.26308097047646883
119,Peregrine falcon,3.787,1.062,1.46,396060000.0,548548000.0,74484000.0,672.8,0.60025360595974,0.16833095577746077,0.23141543826279917
120,Springbok,68.806,11.458,25.81,396900000.0,2257000000.0,70400000.0,39000.0,0.6486603691762355,0.10801893018081717,0.24332070064294736
121,Black vulture,5.93,1.3985,1.749,398899000.0,512097000.0,45765000.0,1747.0,0.6532635637565408,0.15406224180666483,0.19267419443679426
122,Little owl,2.99,0.3585,0.668,400822000.0,134013000.0,35139000.0,169.56,0.7444292294286071,0.08925681563550356,0.16631395493588946
123,Barn owl,3.852,0.51,1.255,437000000.0,214000000.0,37000000.0,580.0,0.6857753249065337,0.0907957984689336,0.22342887662453265
124,Raccoon,24.491,3.338,6.357,437940000.0,1646000000.0,48570000.0,6000.0,0.7164043760603755,0.09764230971742818,0.18595331422219621
125,Emu,12.979,3.399,5.434,439000000.0,814000000.0,81000000.0,38925.0,0.5950394278378873,0.1558316523014854,0.24912891986062718
126,Three-striped night monkey,10.617,1.732,3.104,441900000.0,1040000000.0,49340000.0,800.0,0.6870510580469813,0.11208179641493561,0.20086714553808324
127,Saker falcon,4.12,1.1971,1.504,442946000.0,645740000.0,74998000.0,1006.0,0.6040081511779626,0.17549955285804344,0.22049229596399408
128,Eurasian magpie,3.714,0.453,1.258,443000000.0,349000000.0,104000000.0,178.0,0.6846082949308756,0.08350230414746544,0.231889400921659
129,Common ostrich,25.58,5.8009,6.452,479410000.0,1059572000.0,42629000.0,120050.0,0.6761310922503959,0.15332950950098992,0.17053939824861433
130,Western jackdaw,4.165,0.483,1.376,492000000.0,375000000.0,100000000.0,246.0,0.6914010624169987,0.08017928286852591,0.22841965471447545
131,Striped hyena,67.45,14.032,17.732,495280000.0,3330000000.0,55490000.0,40000.0,0.6798435704638459,0.14143165279093675,0.17872477674521742
132,Domestic dog,65.491,7.512,13.459,527910000.0,1676000000.0,48150000.0,40000.0,0.7574541417038698,0.08688209849413614,0.15566375980199393
133,Eurasian jay,2.854,0.411,1.331,529000000.0,429000000.0,127000000.0,159.7,0.6209747606614447,0.08942558746736291,0.28959965187119235
134,White-tailed eagle,12.54,2.3578,3.113,542926000.0,983667000.0,81285000.0,5228.2,0.6962489173162769,0.13091034268327892,0.1728407400004442
135,Lion,139.902,24.882,34.162,545240000.0,4049000000.0,72040000.0,175000.0,0.7032159480462035,0.12506911423200268,0.17171493772179386
136,Blesbok,111.31,13.402,30.006,570670000.0,2401000000.0,86400000.0,84500.0,0.7194379451647512,0.0866221124885275,0.1939399423467211
137,Alexandrine parakeet,3.657,0.506,1.537,575000000.0,361000000.0,160000000.0,255.0,0.641578947368421,0.0887719298245614,0.2696491228070175
138,Tanimbar corella,5.502,0.571,2.202,599000000.0,413000000.0,148000000.0,275.0,0.6648942598187312,0.06900302114803626,0.2661027190332327
139,Striated caracara,6.847,1.136,1.733,663372000.0,592281000.0,68175000.0,1426.6,0.7047138740222313,0.11692054343351171,0.17836558254425688
140,Boreal owl,2.902,0.349,0.605,663908000.0,206170000.0,35979000.0,113.12,0.7525933609958506,0.0905082987551867,0.15689834024896263
141,Long-eared owl,3.84,0.4746,0.854,673000000.0,261386000.0,35852000.0,248.06,0.7429478001779979,0.09182370467824943,0.16522849514375268
142,Greater kudu,213.37,31.776,61.716,762000000.0,4042000000.0,106500000.0,217500.0,0.69532884488793,0.10355143354341691,0.201119721568653
143,Long-tailed macaque,36.226,5.642,4.294,800960000.0,2572000000.0,65440000.0,6363.0,0.7847580260820588,0.12222174082578745,0.09302023309215371
144,Rook,5.769,0.657,1.931,820000000.0,536000000.0,152000000.0,453.5,0.6903194926408999,0.07861672849108532,0.23106377886801485
145,Morepork,3.846,0.515,0.887,823855000.0,280175000.0,41749000.0,274.9,0.7328506097560976,0.09813262195121952,0.16901676829268295
146,Grey parrot,5.941,0.638,2.249,850000000.0,387000000.0,328000000.0,333.0,0.6729723606705936,0.07227004984141369,0.25475758948799276
147,Sulphur-crested cockatoo,6.767,0.836,2.528,1135000000.0,588000000.0,398000000.0,800.0,0.6679498568749384,0.08251900108577633,0.24953114203928536
148,Brown capuchin,39.178,4.6,8.43,1140000000.0,2490000000.0,61850000.0,2643.0,0.7504213913576463,0.08810910205332516,0.1614695065890285
149,Tawny owl,6.49,0.6228,1.318,1153000000.0,334017000.0,57050000.0,549.67,0.7697964605968592,0.07387199316790816,0.15633154623523274
150,Raven,10.195,1.145,2.794,1204000000.0,753000000.0,213000000.0,1041.0,0.7213103155511532,0.08101032970142917,0.19767935474741757
151,Snowy owl,13.48,1.2854,2.163,1270000000.0,452880000.0,50027000.0,1770.0,0.7962949835778929,0.07593157061506109,0.12777344580704614
152,Kea,9.483,0.825,3.284,1281000000.0,481000000.0,386000000.0,867.5,0.6976898175397294,0.060697469099470276,0.24161271336080048
153,Northern hawk-owl,5.311,0.554,1.126,1308000000.0,299621000.0,55277000.0,300.4,0.7596910313259906,0.07924474324131027,0.1610642254326992
154,Eurasian eagle-owl,11.72,1.2078,2.081,1328000000.0,471871000.0,58383000.0,2342.33,0.780875219871009,0.08047278929694579,0.13865199083204519
155,Common squirrel monkey,20.652,4.3,5.004,1340000000.0,1820000000.0,65530000.0,925.0,0.6894111363332888,0.14354386433435704,0.1670449993323541
156,Bonnet macaque,48.274,5.748,7.448,1655000000.0,2038000000.0,61350000.0,6755.0,0.7853261753700993,0.09350902879453392,0.12116479583536685
157,Great grey owl,10.969,1.025,1.663,1700000000.0,495827000.0,59403000.0,1013.3,0.8031778575089698,0.07505308632935491,0.12176905616167534
158,Rhesus macaque,69.832,7.694,9.204,1710000000.0,4550000000.0,121900000.0,8235.0,0.8051654560129137,0.08871209500749454,0.10612244897959186
159,Giraffe,398.808,67.73,70.68,1731000000.0,8878000000.0,142600000.0,800000.0,0.7423578510027585,0.12607544795595083,0.1315667010412905
160,Blue and yellow macaw,14.377,1.245,5.109,1916000000.0,633000000.0,585000000.0,1030.0,0.6935024842024021,0.06005499011142733,0.24644252568617045
161,Harbour porpoise,382.77,106.14,74.62,2770000000.0,23400000000.0,114000000.0,52500.0,0.6792362429684311,0.1883484464003691,0.13241531063119977
162,Yellow baboon,120.214,13.745,17.235,2875000000.0,7794000000.0,278100000.0,20000.0,0.7950976890617352,0.09090969218355224,0.11399261875471248
163,African elephant,2847.0,1171.0,564.0,5593000000.0,250700000000.0,741000000.0,4800000.0,0.6213443910955915,0.25556525534701,0.12309035355739852
164,Human,1232.0,154.02,117.669,16340000000.0,69030000000.0,690000000.0,62035.0,0.8193183563888543,0.10242809517127545,0.0782535484398702
