,Animal,Forebr m,Cer m,rest m,Forebr n,Cer n,Rest n,Body m,Fmr %,Cmr %,rmr %,br^fmr
1,African sheath-tailed bat,0.0899,0.054,0.098,5080000.0,47984000.0,5514000.0,11.5,0.371641174038859,0.2232327408019843,0.4051260851591567,0.5901110003742093
2,Little free-tailed bat,0.084,0.036,0.084,5632000.0,25324000.0,4001000.0,5.4,0.4117647058823529,0.1764705882352941,0.4117647058823529,0.5196728990390607
3,Rufous trident bat,0.093,0.072,0.084,6039000.0,59651000.0,4072000.0,13.7,0.37349397590361444,0.2891566265060241,0.3373493975903615,0.5949549654890516
4,Common bent-wing bat,0.0858,0.0485,0.086,6116000.0,44447000.0,5094000.0,11.6,0.389468906037222,0.22015433499773038,0.39037675896504764,0.554784827035341
5,Naked mole-rat,0.184,0.048,0.16,6150000.0,15740000.0,4980000.0,35.3,0.4693877551020408,0.12244897959183673,0.40816326530612246,0.6443079054468586
6,Commerson's roundleaf bat,0.243,0.107,0.237,7877000.0,51875000.0,6965000.0,101.9,0.41396933560477,0.18228279386712096,0.403747870528109,0.8020903077844187
7,Smoky shrew,0.084,0.02,0.072,9730000.0,20870000.0,5560000.0,7.5,0.47727272727272735,0.11363636363636365,0.40909090909090906,0.4364191240442361
8,Heart-nosed bat,0.257,0.103,0.201,10221000.0,63792000.0,7317000.0,26.0,0.4581105169340464,0.18360071301247774,0.358288770053476,0.7673566243538673
9,Short-palated fruit bat,0.461,0.127,0.301,10471000.0,77445000.0,11098000.0,27.0,0.5185601799775028,0.14285714285714285,0.33858267716535434,0.9408112197100358
10,Northern short-tailed shrew,0.197,0.037,0.113,11876000.0,33430000.0,6340000.0,21.6,0.5677233429394812,0.10662824207492794,0.3256484149855908,0.5483202849479559
11,Woermann's bat,0.309,0.079,0.159,11897000.0,49734000.0,4097000.0,17.9,0.5648994515539305,0.14442413162705667,0.2906764168190128,0.7111958018376764
12,Zenker's fruit bat,0.323,0.085,0.177,12847000.0,47217000.0,5529000.0,16.1,0.5521367521367522,0.1452991452991453,0.30256410256410254,0.7437692105938019
13,House mouse,0.173,0.056,0.172,13690000.0,42220000.0,11960000.0,20.5,0.4314214463840399,0.13965087281795513,0.428927680798005,0.6741987938542183
14,Hairy-tailed mole,0.429,0.102,0.228,15690000.0,100780000.0,7130000.0,62.5,0.5652173913043478,0.13438735177865613,0.30039525691699603,0.8556783996222073
15,Golden hamster,0.446,0.145,0.375,17140000.0,61210000.0,5870000.0,105.0,0.4616977225672878,0.15010351966873706,0.38819875776397517,0.9841560655838322
16,Star-nosed mole,0.42,0.138,0.244,17250000.0,105920000.0,8160000.0,55.3,0.5236907730673316,0.17206982543640897,0.30423940149625933,0.8908754698376466
17,Grey mouse lemur,0.908,0.391,0.5,22310000.0,221380000.0,11010000.0,64.8,0.5047248471372985,0.21734296831573097,0.27793218454697055,1.3449946750572364
18,Franquet's epauletted fruit bat,1.04,0.286,0.712,22533000.0,150660000.0,12808000.0,120.0,0.5103042198233562,0.14033366045142293,0.34936211972522074,1.4380970575089806
19,Hammer-headed bat,1.805,0.456,1.169,24343000.0,221298000.0,28877000.0,310.0,0.5262390670553936,0.13294460641399417,0.3408163265306122,1.9129018110490945
20,Cayenne spiny rat,0.924,0.33,0.824,26090000.0,162510000.0,13490000.0,356.5,0.4446583253128008,0.15880654475457173,0.3965351299326275,1.3843430837550152
21,Wahlberg's epauletted fruit bat,0.634,0.193,0.386,26201000.0,121136000.0,14416000.0,74.0,0.5226710634789777,0.1591096455070074,0.3182192910140148,1.1061948034805802
22,Eastern mole,0.476,0.153,0.37,26680000.0,158550000.0,16560000.0,90.0,0.47647647647647645,0.15315315315315314,0.37037037037037035,0.9995233987368219
23,Egyptian fruit bat,0.985,0.219,0.547,28859000.0,132436000.0,10936000.0,120.0,0.5625356938892062,0.12507138777841234,0.31239291833238153,1.3704308956190983
24,Brown rat,0.769,0.272,0.683,31020000.0,139170000.0,18680000.0,300.0,0.4460556844547564,0.1577726218097448,0.3961716937354989,1.2749959054590043
25,Four-toed elephant shrew,1.239,0.304,0.894,33947000.0,110650000.0,12230000.0,210.0,0.5084119819450144,0.12474353713582272,0.3668444809191629,1.5728307317871941
26,Ferret,3.123,0.92,1.386,38950000.0,351260000.0,14210000.0,809.0,0.575244059679499,0.1694603057653343,0.2552956345551667,2.646325273085662
27,Guinea pig,1.938,0.5,1.218,43510000.0,167850000.0,22190000.0,728.0,0.5300875273522976,0.13676148796498908,0.33315098468271337,1.9881198322452027
28,Common tree shrew,1.455,0.326,0.919,60390000.0,185280000.0,22480000.0,200.0,0.5388888888888889,0.12074074074074073,0.3403703703703704,1.7078791615292865
29,European rabbit,4.448,1.412,3.272,71450000.0,396670000.0,26080000.0,1800.0,0.487078405606658,0.15462111257117828,0.3583004818221638,2.9367765820033465
30,Eastern grey squirrel,2.73,0.874,1.943,77330000.0,342830000.0,33490000.0,533.0,0.49215792320173063,0.15756264647557236,0.3502794303226969,2.3237752491294232
31,Banded mongoose,9.29,1.548,3.454,115770000.0,315740000.0,22510000.0,1332.0,0.6500139938427092,0.10831234256926953,0.24167366358802128,5.634126828813883
32,Rock hyrax,10.478,2.058,4.317,197930000.0,488370000.0,69350000.0,3600.0,0.621729069008485,0.1221147570165549,0.25615617397495993,5.789764331935312
33,Northern greater galago,6.29,1.196,2.131,226090000.0,743500000.0,20800000.0,1300.0,0.6540501195799107,0.12436310699802434,0.2215867734220651,4.394982786320876
34,Common marmoset,5.561,0.73,1.489,244720000.0,361370000.0,29720000.0,255.2,0.7147814910025707,0.09383033419023136,0.19138817480719794,4.333668874130919
35,House cat,24.176,5.11,5.572,249830000.0,942900000.0,22470000.0,3900.0,0.6935567158184635,0.14659475586665904,0.15984852831487753,11.740165869093126
36,Brown bear,222.0,45.106,47.898,250970000.0,9253000000.0,81380000.0,277500.0,0.7047529555180251,0.14319183248466685,0.15205521199730798,57.636238945568316
37,Capybara,48.175,6.632,19.927,306500000.0,1157000000.0,108000000.0,55000.0,0.6446195841250301,0.08874140284207992,0.26663901303289,16.132680793045015
38,Domestic pig,42.404,8.128,13.85,307082000.0,1858000000.0,58710000.0,130000.0,0.6586312944611848,0.1262464664036532,0.21512223913516199,15.534914956741982
39,Springbok,68.806,11.458,25.81,396900000.0,2257000000.0,70400000.0,39000.0,0.6486603691762355,0.10801893018081717,0.24332070064294736,20.60308464833158
40,Raccoon,24.491,3.338,6.357,437940000.0,1646000000.0,48570000.0,6000.0,0.7164043760603755,0.09764230971742818,0.18595331422219621,12.556124865935654
41,Three-striped night monkey,10.617,1.732,3.104,441900000.0,1040000000.0,49340000.0,800.0,0.6870510580469813,0.11208179641493561,0.20086714553808324,6.560130901724949
42,Striped hyena,67.45,14.032,17.732,495280000.0,3330000000.0,55490000.0,40000.0,0.6798435704638459,0.14143165279093675,0.17872477674521742,22.769698991022857
43,Domestic dog,65.491,7.512,13.459,527910000.0,1676000000.0,48150000.0,40000.0,0.7574541417038698,0.08688209849413614,0.15566375980199393,29.31273406697706
44,Lion,139.902,24.882,34.162,545240000.0,4049000000.0,72040000.0,175000.0,0.7032159480462035,0.12506911423200268,0.17171493772179386,41.35302282993924
45,Blesbok,111.31,13.402,30.006,570670000.0,2401000000.0,86400000.0,84500.0,0.7194379451647512,0.0866221124885275,0.1939399423467211,37.60440875585929
46,Greater kudu,213.37,31.776,61.716,762000000.0,4042000000.0,106500000.0,217500.0,0.69532884488793,0.10355143354341691,0.201119721568653,53.60968814221528
47,Long-tailed macaque,36.226,5.642,4.294,800960000.0,2572000000.0,65440000.0,6363.0,0.7847580260820588,0.12222174082578745,0.09302023309215371,20.233019990085495
48,Brown capuchin,39.178,4.6,8.43,1140000000.0,2490000000.0,61850000.0,2643.0,0.7504213913576463,0.08810910205332516,0.1614695065890285,19.454793789959112
49,Common squirrel monkey,20.652,4.3,5.004,1340000000.0,1820000000.0,65530000.0,925.0,0.6894111363332888,0.14354386433435704,0.1670449993323541,10.420879869656767
50,Bonnet macaque,48.274,5.748,7.448,1655000000.0,2038000000.0,61350000.0,6755.0,0.7853261753700993,0.09350902879453392,0.12116479583536685,25.391247583050536
51,Rhesus macaque,69.832,7.694,9.204,1710000000.0,4550000000.0,121900000.0,8235.0,0.8051654560129137,0.08871209500749454,0.10612244897959186,36.353564949137485
52,Giraffe,398.808,67.73,70.68,1731000000.0,8878000000.0,142600000.0,800000.0,0.7423578510027585,0.12607544795595083,0.1315667010412905,106.35274396328002
53,Harbour porpoise,382.77,106.14,74.62,2770000000.0,23400000000.0,114000000.0,52500.0,0.6792362429684311,0.1883484464003691,0.13241531063119977,73.87926321898654
54,Yellow baboon,120.214,13.745,17.235,2875000000.0,7794000000.0,278100000.0,20000.0,0.7950976890617352,0.09090969218355224,0.11399261875471248,54.068321737889704
55,African elephant,2847.0,1171.0,564.0,5593000000.0,250700000000.0,741000000.0,4800000.0,0.6213443910955915,0.25556525534701,0.12309035355739852,188.2677977329817
56,Human,1232.0,154.02,117.669,16340000000.0,69030000000.0,690000000.0,62035.0,0.8193183563888543,0.10242809517127545,0.0782535484398702,400.9626218868181
